ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Artificial Intelligence Engineer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102713980}]}}, facets={}}",14871847588
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=junior web developer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:105556991, radiusInKms=40.2335}]}}, facets={}}",14495126684
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, keywords=data science, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102713980}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2]}, experienceLevels={selectedValues=[INTERNSHIP]}}}",7643796826
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=full stack engineer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102713980}]}}, facets={}}",1740619685
